"Original Lines" OPINIONLEXICON SENTISTRENGTH SOCAL HAPPINESSINDEX SANN EMOTICONSDS SENTIMENT140 STANFORD AFINN MPQA NRCHASHTAG EMOLEX EMOTICONS PANAST SASA SENTIWORDNET VADER UMIGON
"é tipo viagra kkkkkkkkkkkkkkkkkkkkkkkkkk juro tô crendo " Neutral Negative Neutral Neutral Negative Positive Negative Neutral Negative Negative Negative Positive Neutral Neutral Negative Positive Neutral Neutral
"rt @ronaldrios obsessão @jdoriajr lula é normal acho nunca tomou viagra basta pensar lula pra ficar ere " Positive Negative Neutral Negative Negative Positive Negative Negative Neutral Neutral Negative Neutral Neutral Neutral Neutral Negative Neutral Neutral
"rt @ronaldrios obsessão @jdoriajr lula é normal acho nunca tomou viagra basta pensar lula pra ficar ere " Positive Negative Neutral Negative Negative Positive Negative Negative Neutral Neutral Negative Neutral Neutral Neutral Neutral Negative Neutral Neutral
"rt @ronaldrios obsessão @jdoriajr lula é normal acho nunca tomou viagra basta pensar lula pra ficar ere " Positive Negative Neutral Negative Negative Positive Negative Negative Neutral Neutral Negative Neutral Neutral Neutral Neutral Negative Neutral Neutral
"rt @ronaldrios obsessão @jdoriajr lula é normal acho nunca tomou viagra basta pensar lula pra ficar ere " Positive Negative Neutral Negative Negative Positive Negative Negative Neutral Neutral Negative Neutral Neutral Neutral Neutral Negative Neutral Neutral
"rt @ronaldrios obsessão @jdoriajr lula é normal acho nunca tomou viagra basta pensar lula pra ficar ere " Positive Negative Neutral Negative Negative Positive Negative Negative Neutral Neutral Negative Neutral Neutral Neutral Neutral Negative Neutral Neutral
"rt @ronaldrios obsessão @jdoriajr lula é normal acho nunca tomou viagra basta pensar lula pra ficar ere " Positive Negative Neutral Negative Negative Positive Negative Negative Neutral Neutral Negative Neutral Neutral Neutral Neutral Negative Neutral Neutral
"rt @ronaldrios obsessão @jdoriajr lula é normal acho nunca tomou viagra basta pensar lula pra ficar ere " Positive Negative Neutral Negative Negative Positive Negative Negative Neutral Neutral Negative Neutral Neutral Neutral Neutral Negative Neutral Neutral
"rt @ronaldrios obsessão @jdoriajr lula é normal acho nunca tomou viagra basta pensar lula pra ficar ere " Positive Negative Neutral Negative Negative Positive Negative Negative Neutral Neutral Negative Neutral Neutral Neutral Neutral Negative Neutral Neutral
"rt @ronaldrios obsessão @jdoriajr lula é normal acho nunca tomou viagra basta pensar lula pra ficar ere " Positive Negative Neutral Negative Negative Positive Negative Negative Neutral Neutral Negative Neutral Neutral Neutral Neutral Negative Neutral Neutral
"rt @ronaldrios obsessão @jdoriajr lula é normal acho nunca tomou viagra basta pensar lula pra ficar ere " Positive Negative Neutral Negative Negative Positive Negative Negative Neutral Neutral Negative Neutral Neutral Neutral Neutral Negative Neutral Neutral
"rt @ronaldrios obsessão @jdoriajr lula é normal acho nunca tomou viagra basta pensar lula pra ficar ere " Positive Negative Neutral Negative Negative Positive Negative Negative Neutral Neutral Negative Neutral Neutral Neutral Neutral Negative Neutral Neutral
"obsessão @jdoriajr lula é normal acho nunca tomou viagra basta pensar lula pra f https t co mztbwptyyo " Positive Negative Neutral Negative Negative Positive Negative Negative Neutral Positive Negative Neutral Neutral Neutral Neutral Negative Neutral Neutral
"pfizer viagra coupon https t co ownihqu43z " Neutral Neutral Neutral Neutral Neutral Positive Neutral Neutral Neutral Neutral Neutral Neutral Neutral Neutral Positive Positive Neutral Neutral
"viagra india https t co nt30zyrp5h " Neutral Neutral Neutral Neutral Neutral Positive Negative Neutral Neutral Neutral Neutral Neutral Neutral Neutral Positive Neutral Neutral Neutral
"homemade viagra recipe https t co k40awncc5t " Neutral Neutral Neutral Neutral Neutral Positive Positive Neutral Neutral Neutral Positive Neutral Neutral Neutral Neutral Neutral Neutral Neutral
"@micheltemer ô vovô pegador movido viagra ditadura época rica aonde aff " Positive Neutral Positive Neutral Positive Positive Negative Positive Positive Neutral Positive Negative Neutral Neutral Positive Negative Positive Neutral
"rt @brunofabil trabalha vendendo viagra firmeza " Positive Neutral Positive Neutral Neutral Positive Positive Positive Neutral Neutral Positive Positive Neutral Neutral Neutral Positive Neutral Neutral
"vigora vs viagra https t co sqxiy5pvtc " Neutral Neutral Neutral Neutral Neutral Positive Neutral Neutral Neutral Neutral Positive Neutral Neutral Neutral Neutral Neutral Neutral Neutral
"viagra images https t co wo6hl0qdtd " Neutral Neutral Neutral Neutral Neutral Positive Negative Neutral Neutral Neutral Positive Neutral Neutral Neutral Positive Neutral Neutral Neutral
"viagra super force https t co 6wj0zkkdih " Positive Positive Positive Neutral Positive Positive Negative Neutral Positive Neutral Negative Negative Neutral Neutral Positive Positive Positive Neutral
"eleições francesas cuidado viagra garante subida le pen " Neutral Positive Positive Neutral Neutral Positive Positive Positive Positive Neutral Positive Positive Neutral Neutral Neutral Positive Neutral Neutral
"viagra logo https t co tz4vrfvz87 " Neutral Neutral Neutral Neutral Neutral Positive Neutral Neutral Neutral Neutral Neutral Neutral Neutral Neutral Neutral Neutral Neutral Neutral
"rt @brunofabil trabalha vendendo viagra firmeza " Positive Neutral Positive Neutral Neutral Positive Positive Positive Neutral Neutral Positive Positive Neutral Neutral Neutral Positive Neutral Neutral
"natural viagra gnc https t co 0az1g6wqnb " Neutral Neutral Positive Positive Positive Positive Neutral Neutral Positive Neutral Positive Neutral Neutral Neutral Neutral Negative Neutral Neutral
"viagra coupon https t co lk7ivggrxb " Neutral Neutral Neutral Neutral Neutral Positive Neutral Neutral Neutral Neutral Neutral Neutral Neutral Neutral Positive Positive Neutral Neutral
"rt @especiaiista comprovado vídeo luhh pantera substitui viagra https t co uded2v1uyw " Positive Neutral Neutral Neutral Neutral Positive Positive Negative Neutral Neutral Negative Neutral Neutral Neutral Neutral Neutral Neutral Neutral
"gnc alternative to viagra https t co em6njmitof " Neutral Neutral Neutral Neutral Neutral Positive Neutral Neutral Neutral Neutral Positive Neutral Neutral Neutral Positive Negative Neutral Neutral
"viagra https t co barz2xxuah " Neutral Neutral Neutral Neutral Neutral Positive Negative Neutral Neutral Neutral Neutral Neutral Neutral Neutral Positive Neutral Neutral Positive
"cheap viagra canada https t co 1oel0baij3 " Negative Negative Negative Neutral Negative Positive Negative Negative Neutral Neutral Negative Negative Neutral Neutral Positive Negative Neutral Neutral
"rt @vialarrydagen título #slowhands sei espero música romance água açúcar música bem the weeknd ft viagra " Neutral Positive Positive Positive Positive Positive Positive Negative Positive Positive Positive Positive Neutral Neutral Positive Positive Positive Positive
"substitute viagra https t co dujslrwthr " Neutral Neutral Neutral Neutral Neutral Positive Neutral Neutral Neutral Neutral Neutral Neutral Neutral Neutral Neutral Negative Neutral Neutral
"rt @swalter255 #imoldbutnot___old viagra " Neutral Neutral Negative Neutral Neutral Positive Positive Negative Neutral Neutral Positive Neutral Neutral Neutral Positive Positive Neutral Neutral
"tão desesperado vida quanto incontáveis propagandas viagra recebo email enche caixa spam " Negative Negative Negative Positive Neutral Positive Negative Negative Negative Negative Negative Negative Neutral Neutral Positive Negative Negative Negative
"tava lendo negócio comer amendoim funciona igual viagra " Neutral Neutral Neutral Positive Neutral Positive Negative Negative Neutral Neutral Negative Positive Neutral Neutral Neutral Positive Neutral Neutral
"#imoldbutnot___old viagra " Neutral Neutral Negative Neutral Neutral Positive Positive Neutral Neutral Neutral Positive Neutral Neutral Neutral Positive Positive Neutral Neutral
"rt @vialarrydagen título #slowhands sei espero música romance água açúcar música bem the weeknd ft viagra " Neutral Positive Positive Positive Positive Positive Positive Negative Positive Positive Positive Positive Neutral Neutral Positive Positive Positive Positive
"rt @vialarrydagen título #slowhands sei espero música romance água açúcar música bem the weeknd ft viagra " Neutral Positive Positive Positive Positive Positive Positive Negative Positive Positive Positive Positive Neutral Neutral Positive Positive Positive Positive
"viagra soft tabs https t co qjve2eiez1 " Positive Neutral Positive Positive Neutral Positive Neutral Neutral Neutral Neutral Positive Neutral Neutral Neutral Positive Negative Neutral Neutral
"título #slowhands sei espero música romance água açúcar música bem the weeknd ft viagra " Neutral Positive Positive Positive Positive Positive Positive Neutral Positive Positive Positive Positive Neutral Neutral Positive Positive Positive Positive
"rt @brunofabil trabalha vendendo viagra firmeza " Positive Neutral Positive Neutral Neutral Positive Positive Positive Neutral Neutral Positive Positive Neutral Neutral Neutral Positive Neutral Neutral
"@jjennsr tá rindo né agora vou ter usar viagra pro coração subir novamente " Positive Positive Positive Positive Negative Positive Negative Negative Positive Negative Positive Positive Neutral Neutral Positive Positive Neutral Negative
"viagra alternative gnc https t co fjdmnuti4u " Neutral Neutral Neutral Neutral Neutral Positive Neutral Negative Neutral Neutral Positive Neutral Neutral Neutral Positive Negative Neutral Neutral
"@spideranderson @arielhelwani viagra " Neutral Neutral Neutral Neutral Neutral Positive Positive Neutral Neutral Neutral Positive Neutral Neutral Neutral Positive Neutral Neutral Neutral
"rt @canadianpromo2 pfizer coupons viagra https t co w1hkslfhrz " Neutral Neutral Neutral Neutral Neutral Positive Neutral Negative Neutral Neutral Negative Neutral Neutral Neutral Positive Neutral Neutral Neutral
"pfizer coupons viagra https t co w1hkslfhrz " Neutral Neutral Neutral Neutral Neutral Positive Neutral Negative Neutral Neutral Neutral Neutral Neutral Neutral Positive Neutral Neutral Neutral
"@xsqueezie viagra " Neutral Neutral Neutral Neutral Neutral Positive Positive Neutral Neutral Neutral Positive Neutral Neutral Neutral Positive Neutral Neutral Neutral
"viagra wikipedia https t co jabuljcarw " Neutral Neutral Neutral Neutral Neutral Positive Neutral Neutral Neutral Neutral Neutral Neutral Neutral Neutral Positive Neutral Neutral Neutral
"rt @brunofabil trabalha vendendo viagra firmeza " Positive Neutral Positive Neutral Neutral Positive Positive Positive Neutral Neutral Positive Positive Neutral Neutral Neutral Positive Neutral Neutral
"generic viagra 100mg https t co otclfjuomv " Neutral Neutral Negative Neutral Neutral Positive Negative Negative Neutral Neutral Negative Neutral Neutral Neutral Neutral Negative Neutral Neutral
"rt @brunofabil trabalha vendendo viagra firmeza " Positive Neutral Positive Neutral Neutral Positive Positive Positive Neutral Neutral Positive Positive Neutral Neutral Neutral Positive Neutral Neutral
"india viagra https t co cceejlaj8w " Neutral Neutral Neutral Neutral Neutral Positive Negative Neutral Neutral Neutral Neutral Neutral Neutral Neutral Positive Neutral Neutral Neutral
"@emirbrzd2 deu viagra so desci pica cara " Neutral Negative Neutral Neutral Negative Positive Negative Negative Negative Neutral Positive Neutral Neutral Neutral Neutral Negative Neutral Neutral
"gnc viagra https t co s9mxszu6sg " Neutral Neutral Neutral Neutral Neutral Positive Negative Neutral Neutral Neutral Positive Neutral Neutral Neutral Positive Neutral Neutral Neutral
"viagra prank https t co 4twuh0lu4l " Neutral Neutral Neutral Neutral Neutral Positive Neutral Neutral Neutral Neutral Negative Negative Neutral Neutral Neutral Positive Neutral Neutral
"viagra " Neutral Neutral Neutral Neutral Neutral Positive Positive Neutral Neutral Neutral Positive Neutral Neutral Neutral Positive Neutral Neutral Neutral
"viagra pro https t co etcfurlu64 " Neutral Neutral Positive Neutral Positive Positive Negative Neutral Neutral Neutral Neutral Neutral Neutral Neutral Positive Neutral Neutral Neutral
"@crixtal7 @fitzca @dilmabr @smcristalina @killerman001bs @aruthcao @anholeto @neusamandrade @dasilva86 @hanahmelo19 https t co avg4alyplb " Neutral Neutral Neutral Neutral Neutral Positive Negative Negative Neutral Neutral Negative Neutral Neutral Neutral Neutral Neutral Neutral Neutral
"rt @nikitaharin viagra " Neutral Neutral Neutral Neutral Neutral Positive Positive Neutral Neutral Neutral Positive Neutral Neutral Neutral Positive Neutral Neutral Neutral
"rt @especiaiista comprovado vídeo luhh pantera substitui viagra https t co uded2v1uyw " Positive Neutral Neutral Neutral Neutral Positive Positive Negative Neutral Neutral Negative Neutral Neutral Neutral Neutral Neutral Neutral Neutral
"@antivirusavasti saí to tinder " Neutral Neutral Neutral Neutral Neutral Positive Negative Neutral Neutral Neutral Neutral Neutral Neutral Neutral Positive Neutral Neutral Neutral
"@babelthecat @whateverimgood acabou fazer tinder ja ta cheia match " Neutral Neutral Positive Neutral Positive Positive Negative Negative Neutral Neutral Negative Positive Neutral Neutral Neutral Positive Neutral Neutral
"@handsomedeevil baixa tinder pra respeitar outros " Positive Positive Positive Positive Neutral Positive Negative Negative Neutral Positive Negative Positive Neutral Neutral Positive Negative Neutral Positive
"interesso ninguém dá super like tinder é realmente ruim " Positive Neutral Negative Neutral Positive Positive Negative Negative Positive Negative Negative Neutral Neutral Neutral Positive Positive Neutral Negative
"@hunhansz baixa tinder " Neutral Negative Neutral Neutral Neutral Positive Negative Negative Neutral Neutral Negative Neutral Neutral Neutral Negative Negative Neutral Neutral
"baixei tinder kkkkkkkkkkk " Neutral Positive Neutral Neutral Neutral Positive Neutral Neutral Neutral Neutral Negative Neutral Neutral Neutral Neutral Neutral Neutral Positive
"última esperança é tinder " Neutral Positive Positive Positive Positive Positive Negative Neutral Positive Positive Negative Positive Neutral Neutral Positive Negative Neutral Positive
"rt @valadaovivian é pra tinder mano kkkkkkkkkk https t co do81pwvynr " Neutral Positive Neutral Neutral Neutral Positive Neutral Negative Neutral Neutral Negative Neutral Neutral Neutral Neutral Neutral Neutral Neutral
"rt @elcyyk loca boy tinder " Neutral Neutral Neutral Positive Neutral Positive Positive Neutral Neutral Neutral Neutral Negative Neutral Neutral Neutral Positive Neutral Neutral
"dai vê ex tinder like quer nada pummmmmmm match abre conversa " Positive Positive Neutral Neutral Positive Positive Negative Negative Positive Positive Negative Neutral Neutral Neutral Negative Negative Neutral Neutral
"rt @aelinrhambos medo desse tal tinder " Negative Negative Negative Negative Negative Positive Negative Negative Negative Negative Negative Negative Neutral Neutral Negative Negative Neutral Neutral
"porra desse tinder aparece nego blumenau pqp " Negative Negative Negative Neutral Negative Positive Negative Negative Negative Neutral Negative Negative Neutral Neutral Neutral Negative Neutral Negative
"hj conversei moça tinder ne q cursa medicina amigo fazia tempo q n sentia tao mal conversa alguem arrogante d " Negative Negative Negative Positive Negative Positive Negative Negative Negative Negative Negative Neutral Neutral Neutral Neutral Negative Negative Negative
"tá cm tinder agora ksksksksj " Neutral Neutral Neutral Neutral Neutral Positive Neutral Neutral Positive Neutral Neutral Neutral Neutral Neutral Positive Positive Neutral Neutral
"baixar tinder sera pessoas vao respeitar nao ja façam " Positive Positive Positive Positive Positive Positive Positive Negative Neutral Neutral Negative Positive Neutral Neutral Neutral Negative Neutral Positive
"claramente sei fazer uns contatinhos deveria estar usando tinder passo tempo averiguando perfis " Positive Neutral Neutral Positive Neutral Positive Negative Negative Positive Neutral Negative Neutral Neutral Neutral Negative Positive Neutral Neutral
"cara tinder viagem kkkkkkkkkkķkkkkkk " Neutral Positive Neutral Neutral Neutral Positive Neutral Neutral Neutral Neutral Neutral Neutral Neutral Neutral Negative Negative Neutral Neutral
"alguem namora favor pq nao aguento ser solteira tinder https t co nh4ufnncop " Neutral Positive Positive Neutral Negative Positive Negative Neutral Positive Positive Negative Neutral Neutral Neutral Neutral Positive Neutral Neutral
"rt @madelfarley oi gente é ser ferrado tinder aqui é lindo kkkkkkkkkkkkkkkkk " Negative Positive Positive Positive Negative Positive Positive Positive Positive Neutral Negative Neutral Neutral Neutral Negative Positive Neutral Negative
"rt @poxasabrine entrem tinder é buraco q n consegue sair " Neutral Neutral Positive Neutral Positive Positive Negative Negative Neutral Neutral Positive Neutral Neutral Neutral Neutral Positive Neutral Neutral
"pra q tinder twitter " Neutral Neutral Neutral Neutral Neutral Positive Positive Neutral Neutral Neutral Negative Neutral Neutral Neutral Neutral Neutral Neutral Neutral
"fiz tinder curiosidade negócio estranho é loco " Negative Neutral Negative Neutral Neutral Positive Neutral Neutral Negative Neutral Negative Positive Neutral Neutral Neutral Positive Neutral Negative
"to triste vo baixar tinder " Negative Negative Negative Negative Negative Positive Negative Neutral Negative Negative Negative Neutral Neutral Negative Neutral Negative Neutral Negative
"rt @brunosergiolima ex bom é ex morto amiga amor deus supera chifre vai dar volta praia instala tinder " Positive Neutral Positive Positive Positive Positive Positive Negative Positive Positive Positive Positive Neutral Neutral Positive Positive Positive Negative
"professor tinder chocados " Negative Negative Neutral Neutral Neutral Positive Negative Neutral Negative Negative Negative Positive Neutral Neutral Neutral Neutral Neutral Neutral
"tinder n deixa colocar localização p niteroi é mt triste " Negative Negative Negative Negative Negative Positive Positive Negative Negative Negative Negative Neutral Neutral Negative Neutral Negative Negative Negative
"#sexo #nudecam perth tinder #bikini festival https t co 94huec2o1p " Neutral Neutral Neutral Positive Negative Positive Neutral Negative Neutral Neutral Positive Positive Neutral Neutral Neutral Neutral Neutral Neutral
"rt @lissmerandus nots tinder chegando maioria pps então sei vão pegar " Neutral Negative Negative Neutral Neutral Positive Negative Negative Neutral Neutral Negative Negative Neutral Neutral Negative Positive Neutral Neutral
"rt @luucristina15 vou baixar tinder kkkkkkk " Neutral Neutral Neutral Neutral Neutral Positive Negative Negative Neutral Neutral Negative Neutral Neutral Neutral Neutral Neutral Neutral Neutral
"rt @pseudosay amo tinder sz " Positive Positive Positive Positive Positive Positive Positive Neutral Positive Positive Positive Positive Neutral Neutral Positive Positive Positive Positive
"rt @lissmerandus amém tinder esqueceu prisão rs " Negative Negative Neutral Negative Negative Positive Positive Negative Negative Negative Positive Negative Neutral Neutral Positive Negative Negative Neutral
"millena leticia tinder merda " Negative Negative Negative Neutral Negative Positive Negative Neutral Negative Neutral Negative Negative Neutral Neutral Negative Negative Negative Negative
"rt @lissmerandus amém tinder esqueceu prisão rs " Negative Negative Neutral Negative Negative Positive Positive Negative Negative Negative Positive Negative Neutral Neutral Positive Negative Negative Neutral
"amo tinder sz " Positive Positive Positive Positive Positive Positive Positive Neutral Positive Positive Positive Positive Neutral Neutral Positive Positive Positive Positive
"amém tinder esqueceu prisão rs " Negative Negative Neutral Negative Neutral Positive Neutral Negative Negative Negative Positive Negative Neutral Neutral Positive Negative Negative Neutral
"@vitorrocha_7 @rodrigo11rossi supera fofo baixa tinder " Neutral Negative Negative Neutral Neutral Positive Negative Neutral Neutral Negative Neutral Neutral Neutral Neutral Neutral Neutral Neutral Neutral
"ti borraria tinder " Neutral Neutral Neutral Neutral Neutral Positive Neutral Neutral Neutral Neutral Negative Neutral Neutral Neutral Positive Neutral Neutral Neutral
"achei amigo q namora tinder kkkkkkkkkkkkkkkkkk " Neutral Positive Positive Positive Neutral Positive Negative Neutral Neutral Neutral Negative Positive Neutral Neutral Neutral Positive Neutral Neutral
"próxima aula espanhol sobre tinder https t co fvmvh7xg1g " Neutral Neutral Neutral Neutral Neutral Positive Negative Neutral Neutral Neutral Negative Neutral Neutral Neutral Neutral Negative Neutral Neutral
"oq faz match tinder sendo usa brincadeira " Negative Positive Neutral Positive Positive Positive Negative Neutral Positive Neutral Negative Negative Neutral Neutral Neutral Positive Neutral Neutral
"tinder é pra dog mal " Negative Negative Negative Positive Negative Positive Neutral Neutral Negative Negative Negative Negative Neutral Neutral Neutral Negative Negative Neutral
"gente tinder deve ser mt divertido pra esther klein " Positive Positive Neutral Positive Neutral Positive Negative Positive Positive Neutral Negative Positive Neutral Neutral Positive Positive Positive Positive
"baixei tinder pra zoar agr n saio kkkkkkkkkkk ponto chegamos amigos " Neutral Positive Positive Neutral Neutral Positive Negative Negative Neutral Neutral Negative Neutral Neutral Neutral Positive Positive Positive Neutral
"vou baixar tinder kkkkkkk " Neutral Neutral Neutral Neutral Neutral Positive Negative Negative Neutral Neutral Negative Neutral Neutral Neutral Neutral Neutral Neutral Neutral
"baixei tinder p ficar bobeando " Neutral Neutral Neutral Neutral Neutral Positive Negative Negative Neutral Neutral Neutral Neutral Neutral Neutral Neutral Neutral Neutral Neutral
"@tinderrpgrq @catarinalaris tinder consigo entender porque pessoas detestam tanto ficar presas " Negative Negative Negative Negative Positive Positive Negative Negative Negative Negative Negative Negative Neutral Neutral Negative Negative Negative Negative
"tinder sinop proporciona nenhum outro lugar proporciona https t co iq4b839uyp " Neutral Neutral Neutral Neutral Neutral Positive Negative Negative Negative Neutral Positive Neutral Neutral Neutral Neutral Negative Neutral Neutral
"ando talarico gente usa tinder " Neutral Neutral Neutral Positive Neutral Positive Negative Negative Neutral Neutral Negative Neutral Neutral Neutral Negative Positive Neutral Neutral
"tô conseguindo entrar tinder aaaaa " Neutral Positive Neutral Neutral Neutral Positive Negative Negative Neutral Neutral Positive Neutral Neutral Neutral Neutral Positive Neutral Neutral
"irmã disse vai arrumar namoradinho tinder kkkkkkkkkkkkkkkkk " Positive Neutral Neutral Positive Neutral Positive Neutral Neutral Neutral Neutral Neutral Neutral Neutral Neutral Neutral Negative Neutral Neutral
"rt @aliendeurano medo zerar tinder n encontrar ninguem " Negative Negative Negative Negative Negative Positive Negative Negative Negative Negative Neutral Neutral Neutral Neutral Neutral Negative Neutral Neutral
"medo zerar tinder n encontrar ninguem " Negative Negative Negative Negative Negative Positive Negative Neutral Negative Neutral Negative Neutral Neutral Neutral Positive Negative Neutral Neutral
"ae galera encontrinho tinder agora hein " Neutral Neutral Neutral Neutral Neutral Positive Positive Neutral Neutral Neutral Negative Neutral Neutral Neutral Neutral Positive Neutral Neutral
"@enya_medeiros ah é listinha tinder " Neutral Neutral Neutral Neutral Neutral Positive Positive Negative Neutral Neutral Positive Neutral Neutral Neutral Neutral Neutral Neutral Neutral
"tinder abençoe dessa vez hahahahahahahahahah " Positive Positive Neutral Positive Positive Positive Positive Negative Positive Neutral Positive Positive Neutral Neutral Positive Positive Neutral Positive
"vamos fazer match acontecer vida r match socorro hsuhsusbsu demos match tinder https t co wljsfwcrdn " Positive Positive Positive Positive Positive Positive Neutral Negative Neutral Neutral Positive Positive Neutral Neutral Positive Positive Neutral Positive
"rt @sabtoswilliam to andre zoando pessoas tinder " Neutral Negative Neutral Positive Neutral Positive Positive Negative Negative Neutral Negative Neutral Neutral Neutral Positive Negative Neutral Neutral
"sério baixei tinder ñ sei pra i vote @bts_twt in #bbmas top social artist award #btsbbmas " Positive Neutral Positive Positive Negative Positive Negative Negative Positive Neutral Negative Positive Neutral Neutral Negative Positive Positive Neutral
"slc mina esquisita chama tinder q fase " Negative Negative Negative Positive Negative Positive Neutral Neutral Negative Negative Negative Negative Neutral Neutral Neutral Negative Neutral Negative
"pensando seriamente instalar tinder novamente " Neutral Neutral Neutral Neutral Negative Positive Negative Negative Neutral Negative Negative Neutral Neutral Neutral Positive Positive Neutral Neutral
"n refiz conta tinder toa vai dar match merda " Negative Negative Negative Neutral Positive Positive Positive Negative Negative Neutral Negative Negative Neutral Neutral Positive Negative Negative Negative
"voltei pro tinder tô rindo mto " Neutral Positive Neutral Neutral Neutral Positive Negative Negative Positive Neutral Negative Positive Neutral Neutral Neutral Neutral Neutral Negative
"boas tinder https t co d8bbm6dqqo " Positive Positive Positive Positive Positive Positive Negative Neutral Positive Neutral Negative Positive Neutral Neutral Positive Positive Neutral Positive
"cê vê q vida é irônica encontra ex tinder kkkkkkkkkkkk " Negative Negative Negative Positive Negative Positive Negative Negative Negative Neutral Positive Neutral Neutral Neutral Neutral Negative Neutral Neutral
"acho tinder devia fazer prisão namoro aceitar sai lá " Negative Negative Neutral Negative Neutral Positive Negative Neutral Negative Neutral Negative Negative Neutral Neutral Positive Positive Neutral Neutral
"passei odiar capitalismo tinder número likes dia pra ter vc precisa pagar " Positive Negative Negative Negative Negative Positive Negative Positive Negative Negative Negative Neutral Neutral Neutral Neutral Negative Neutral Negative
"@tinderrpgrq @hjacos tinder quer morrer farei prazer " Positive Positive Neutral Positive Positive Positive Negative Negative Positive Positive Positive Negative Neutral Neutral Negative Positive Neutral Neutral
"hoje excluí tinder " Neutral Neutral Neutral Neutral Neutral Positive Negative Neutral Neutral Neutral Negative Neutral Neutral Neutral Positive Positive Neutral Neutral
"coisa diabo sabe é odeio ser chamada princesa aí tô lá tinder passa vários boys lindo é claro q " Positive Negative Negative Negative Positive Positive Negative Negative Negative Negative Negative Neutral Neutral Neutral Negative Positive Negative Negative
"triste pois ninguém q mereça super like tinder " Positive Negative Positive Negative Negative Positive Negative Negative Positive Neutral Negative Positive Neutral Negative Neutral Positive Neutral Negative
"rt @iampaolanunes 1 5 17 53 paola to bem magoada chatiada iludida pouco 1 5 17 54 caca aí miga 1 5 17 54 caca baixa tin " Negative Negative Negative Negative Negative Positive Negative Negative Negative Neutral Negative Neutral Neutral Neutral Positive Negative Negative Negative
"vou trocar celular inscrever tinder relacionamento sério fã bryan adams @thekillers " Neutral Negative Positive Positive Negative Positive Negative Negative Positive Negative Negative Neutral Neutral Neutral Positive Positive Neutral Neutral
"vai meter loco puxar tinder agoraaaa heehhehe " Neutral Positive Neutral Neutral Neutral Positive Neutral Negative Neutral Neutral Neutral Positive Neutral Neutral Negative Positive Neutral Neutral
"tinder mudou idade pra 30 " Neutral Neutral Neutral Neutral Neutral Positive Negative Neutral Neutral Neutral Negative Neutral Neutral Neutral Positive Neutral Neutral Neutral
"menina tinder q ta usando foto camilla cabello ai deu match mandei camila come to brazil " Neutral Neutral Neutral Positive Neutral Positive Negative Negative Neutral Neutral Negative Neutral Neutral Neutral Neutral Positive Neutral Neutral
"rt @santoreginaldo_ depender tinder n vou comer ninguém " Neutral Neutral Neutral Positive Neutral Positive Negative Negative Neutral Neutral Negative Positive Neutral Neutral Negative Positive Neutral Neutral
"mãe tinder assim jesus " Neutral Neutral Neutral Positive Neutral Positive Neutral Neutral Positive Neutral Negative Neutral Neutral Neutral Negative Neutral Neutral Neutral
"achei modinha tinder oh querida primeiro odeia agora superlike é linda " Positive Negative Positive Negative Positive Positive Negative Positive Neutral Negative Negative Positive Neutral Neutral Negative Positive Positive Negative
"rt @brunosergiolima ex bom é ex morto amiga amor deus supera chifre vai dar volta praia instala tinder " Positive Neutral Positive Positive Positive Positive Positive Negative Positive Positive Positive Positive Neutral Neutral Positive Positive Positive Negative
"mãe pedir p baixar tinder p socorro " Positive Positive Positive Positive Positive Positive Positive Neutral Neutral Neutral Negative Positive Neutral Neutral Neutral Positive Neutral Positive
"vou baixar tinder kkkkkkkkk " Neutral Neutral Neutral Neutral Neutral Positive Negative Negative Neutral Neutral Negative Neutral Neutral Neutral Neutral Neutral Neutral Neutral
"melhores coisas tinder é achar alguém faça querer dar super like dá pra https t co 2tyrvaza3r " Positive Positive Neutral Neutral Positive Positive Negative Negative Positive Positive Negative Neutral Neutral Neutral Positive Positive Positive Negative
"@tinderrpgrq @blakefreecss aí absurdo tio tinder " Negative Negative Negative Negative Negative Positive Neutral Negative Neutral Negative Negative Negative Neutral Neutral Neutral Positive Neutral Neutral
"bagulho sugerir amigos é anda visitando perfil real kkkkkk gente tinder 6000 anos sugerir doideira " Negative Neutral Negative Positive Negative Positive Positive Negative Negative Negative Negative Negative Neutral Neutral Negative Positive Neutral Neutral
"tinder tá bombando " Neutral Neutral Neutral Neutral Neutral Positive Positive Neutral Neutral Neutral Neutral Neutral Neutral Neutral Negative Neutral Neutral Neutral
"@vivicadiass tinder fazendo efeito " Neutral Neutral Neutral Neutral Neutral Positive Neutral Neutral Neutral Neutral Neutral Neutral Neutral Neutral Positive Negative Neutral Neutral
"tinder tbm perpetua ideia pessoas fotos bio escrota " Neutral Neutral Neutral Positive Neutral Positive Positive Negative Neutral Neutral Negative Neutral Neutral Neutral Neutral Positive Neutral Neutral
"tinder matche mulher betim ibiricity é barreiro tinder é antigo tá namorando pqp povin q namora viu " Neutral Neutral Negative Positive Neutral Positive Negative Negative Neutral Neutral Negative Neutral Neutral Neutral Neutral Positive Neutral Neutral
"tio tinder é agressivo hein https t co plrflvckuf " Negative Negative Negative Positive Neutral Positive Negative Negative Negative Negative Negative Negative Neutral Neutral Neutral Positive Neutral Neutral
