Acurácia,Precisao,Recall,F1 Score,Erro,Data do Log
0.8551587301587301,0.8536837801070136,0.8551587301587301,0.8544205681791817,0.17658730158730157,2017-09-03 15:58:58.271701
0.8469139315752862,0.8460960455819528,0.8469139315752862,0.8465047051360897,0.18291911718206538,2017-09-03 19:08:21.356773
0.8565737051792829,0.8555893475076637,0.8565737051792829,0.8562190625005511,0.18091918042117244,2017-09-03 19:13:41.266105
0.85486624928856,0.8540713464096908,0.85486624928856,0.8544685398639011,0.18091127553278946,2017-09-03 19:16:11.154387
0.8551587301587302,0.8553622436212048,0.8551587301587302,0.854594779114719,0.17495098969202555,2017-09-03 19:18:46.566164
0.852882122304433,0.8524345973109592,0.852882122304433,0.852658028280195,0.17693511667615253,2017-09-03 19:19:48.475372
0.856874090937836,0.8575342614182226,0.856874090937836,0.8568376610567201,0.18091127553278946,2017-09-03 19:21:16.658650
0.8588424081451971,0.8583373836071122,0.8588424081451971,0.8585896932008987,0.17261904761904762,2017-09-03 19:25:14.494961
0.854874154176943,0.8543599838873164,0.854874154176943,0.8544706547636906,0.16898279896287866,2017-09-03 19:38:19.862616
0.8565737051792829,0.8579370651179306,0.8565737051792829,0.8572548340715528,0.17099064061215458,2017-09-04 17:01:14.837763
0.8608423449060899,0.8621327300994821,0.8608423449060899,0.8616201409827516,0.18091918042117244,2017-09-04 19:29:00.217455
0.8551587301587301,0.8545559882544134,0.8551587301587301,0.8548567400637357,0.18452380952380953,2017-09-11 18:28:57.198471
0.85685828116107,0.8584850762981717,0.85685828116107,0.8576708084248772,0.1809033706444065,2017-09-11 18:30:30.294856
0.638121546961326,0.7146718957837741,0.638121546961326,0.6697292753340756,0.4834254143646409,2017-09-11 18:57:44.980139
0.6297872340425532,0.6774387005080029,0.6297872340425532,0.6556982365503894,0.6085106382978723,2017-09-11 18:59:50.846262
0.6353591160220995,0.7097423311937234,0.6353591160220995,0.6657262780149724,0.4640883977900553,2017-09-11 19:15:03.518920
0.8531746031746031,0.8557025129497323,0.8531746031746031,0.8544366262334673,0.18290330740529942,2017-09-11 19:23:42.038986
0.8568503762726871,0.8578336805501676,0.8568503762726871,0.8573414203589791,0.19246031746031744,2017-09-11 19:25:56.570590
0.7296132928603047,0.7254899415673364,0.7296132928603047,0.727543508133665,0.41468253968253965,2017-09-13 20:06:01.532823
0.7276370707645607,0.728884620639489,0.7276370707645607,0.7282601786804055,0.40476190476190477,2017-09-13 20:21:56.514240
0.7276212609877948,0.7256570811599643,0.7276212609877948,0.7266376889328046,0.40555239360020234,2017-09-13 20:26:13.666822
0.8511904761904762,0.8545776010636955,0.8511904761904762,0.8531074180909746,0.25992063492063494,2017-09-13 21:25:16.985585
0.8449298045911592,0.849035283912205,0.8449298045911592,0.8469767200608207,0.27689243027888444,2017-09-13 21:26:43.103630
0.8452380952380952,0.8489764591421332,0.8452380952380952,0.847101728734472,0.23904382470119523,2017-09-13 21:27:53.707864
0.8449377094795422,0.8475229125147261,0.8449377094795422,0.8462275692728969,0.25793650793650796,2017-09-13 22:40:10.844190
0.8511904761904762,0.8527821824963707,0.8511904761904762,0.8519855845114168,0.24701195219123506,2017-09-14 15:27:38.640043
0.8452380952380952,0.8476789637332983,0.8452380952380952,0.8464540291606184,0.2743628659963321,2017-09-14 15:28:29.228534
0.8392857142857143,0.8452168778440896,0.8392857142857143,0.8430824309730278,0.2757936507936508,2017-09-14 15:30:58.873817
0.8611111111111112,0.8636575660385184,0.8611111111111112,0.8623818143856463,0.23809523809523808,2017-09-15 12:28:02.467051
0.8531746031746031,0.8574975363327878,0.8531746031746031,0.856021611356971,0.24801587301587302,2017-09-15 12:29:10.691955
0.848937583001328,0.8508787965388667,0.848937583001328,0.8499069224369317,0.24206349206349204,2017-09-17 16:15:36.496246
0.8432539682539683,0.8462768434361669,0.8432539682539683,0.8447625712619526,0.2743154366660343,2017-09-17 16:27:52.758346
0.8472222222222222,0.8506272552054137,0.8472222222222222,0.8489581101868635,0.27380952380952384,2017-09-17 16:28:36.753885
0.8409615506229052,0.8452369117817263,0.8409615506229052,0.8430935741437074,0.25647410358565736,2017-09-26 16:44:51.942716
0.8389695187503953,0.8424742017589097,0.8389695187503953,0.8407177864620627,0.25992063492063494,2017-09-26 16:45:41.792588
0.8591269841269842,0.8613052933403534,0.8591269841269842,0.8602147435002221,0.2564661986972744,2017-09-27 03:03:28.105133
0.8353174603174603,0.8397001542494826,0.8353174603174603,0.8375023881265669,0.25050591285651047,2017-09-27 03:51:08.759231
0.8409694555112882,0.8443340548148026,0.8409694555112882,0.8421816559105733,0.2604502624422943,2017-09-27 03:52:02.391702
0.8511904761904762,0.855621371089619,0.8511904761904762,0.8533991534472102,0.24603174603174602,2017-09-27 18:23:46.828652
0.8509059002086891,0.8530973313786373,0.8509059002086891,0.851999339693116,0.27380952380952384,2017-09-27 18:29:57.526838
0.91,0.9190470019282877,0.91,0.9147643830073273,0.1830121816168328,2017-09-27 18:36:20.752288
0.906827242524917,0.9130061128080214,0.906827242524917,0.909825271594019,0.20500000000000002,2017-09-27 18:37:24.863039
0.9118161683277962,0.9155925773918338,0.9118161683277962,0.9133513885655281,0.19962901439645625,2017-09-27 18:38:19.037601
0.8472222222222222,0.8525176153048823,0.8472222222222222,0.8498561785933265,0.24404761904761904,2017-09-28 00:39:40.873375
0.8531746031746033;0.8545243797905732;0.8531746031746033;0.853848946381107;0.24801587301587302;2017-09-28 00:42:26.994363
0.871031746031746;0.873351583852791;0.871031746031746;0.8715857178667152;0.17693511667615253;2017-09-28 00:42:26.994468
