FPR,Naive,SVM,Arvore-de-Decisao,Gradiente-Estocastico,Random-Forest,Regressao-Logistica
,0.08366533864541832,0.05976095617529881,0.09163346613545817,0.08366533864541832,0.07569721115537849,0.07171314741035857
,0.099601593625498,0.07936507936507936,0.10317460317460317,0.10714285714285714,0.0992063492063492,0.09126984126984126
,0.10317460317460317,0.09523809523809523,0.11507936507936507,0.10714285714285714,0.0992063492063492,0.09523809523809523
,0.10714285714285714,0.09523809523809523,0.11553784860557768,0.1111111111111111,0.10317460317460317,0.09561752988047809
,0.1111111111111111,0.09561752988047809,0.11904761904761904,0.11553784860557768,0.10756972111553785,0.10714285714285714
,0.12301587301587301,0.0992063492063492,0.12301587301587301,0.12301587301587301,0.11904761904761904,0.11507936507936507
,0.12698412698412698,0.10317460317460317,0.13147410358565736,0.13147410358565736,0.12350597609561753,0.11952191235059761
,0.13147410358565736,0.10756972111553785,0.1388888888888889,0.14682539682539683,0.13095238095238096,0.12749003984063745
,0.13545816733067728,0.11155378486055777,0.14741035856573706,0.14741035856573706,0.1394422310756972,0.13095238095238096
,0.15873015873015872,0.11904761904761904,0.15476190476190477,0.15476190476190477,0.14285714285714285,0.14285714285714285
,0.19642857142857142,0.19282511210762332,0.20089285714285715,0.2062780269058296,0.19282511210762332,0.20179372197309417
,0.19730941704035873,0.22429906542056074,0.2062780269058296,0.22321428571428573,0.22767857142857142,0.20982142857142858
,0.20642201834862386,0.22477064220183487,0.2398190045248869,0.25229357798165136,0.25,0.2336448598130841
,0.21363636363636362,0.22767857142857142,0.2523364485981308,0.2523364485981308,0.2523364485981308,0.23853211009174313
,0.2171945701357466,0.23076923076923078,0.26146788990825687,0.26244343891402716,0.25675675675675674,0.24324324324324326
,0.22522522522522523,0.24324324324324326,0.26576576576576577,0.2636363636363636,0.2641509433962264,0.248868778280543
,0.2358490566037736,0.24401913875598086,0.2727272727272727,0.26576576576576577,0.2669683257918552,0.2545454545454545
,0.2383177570093458,0.2545454545454545,0.27751196172248804,0.27601809954751133,0.27522935779816515,0.25943396226415094
,0.2583732057416268,0.25943396226415094,0.2830188679245283,0.27751196172248804,0.29411764705882354,0.2727272727272727
,0.27149321266968324,0.2669683257918552,0.2850678733031674,0.2783018867924528,0.2966507177033493,0.27601809954751133
,0.8832116788321168,0.8832116788321168,0.759493670886076,0.8544303797468354,0.8344370860927153,0.8832116788321168
,0.8881118881118881,0.8846153846153846,0.7902097902097902,0.8653846153846154,0.8344827586206897,0.8910256410256411
,0.8896551724137931,0.8972602739726028,0.8013698630136986,0.8802816901408451,0.8354430379746836,0.8940397350993378
,0.8924050632911392,0.8987341772151899,0.8029197080291971,0.8811188811188811,0.8394160583941606,0.8987341772151899
,0.9084507042253521,0.9072847682119205,0.8076923076923077,0.8832116788321168,0.8531468531468531,0.9041095890410958
,0.910958904109589,0.9084507042253521,0.8082191780821918,0.8874172185430463,0.8561643835616438,0.9154929577464789
,0.9166666666666666,0.9090909090909091,0.8278145695364238,0.8972602739726028,0.8589743589743589,0.916083916083916
,0.9178082191780822,0.9103448275862069,0.8309859154929577,0.9078014184397163,0.8661971830985915,0.9219858156028369
,0.9403973509933775,0.9361702127659575,0.8413793103448276,0.9172413793103448,0.8865248226950354,0.9310344827586207
,0.9432624113475178,0.9452054794520548,0.8652482269503546,0.9246575342465754,0.9041095890410958,0.9383561643835616
TPR,0.09022556390977443,0.108843537414966,0.07407407407407407,0.06944444444444442,0.08088235294117652,0.10204081632653061
,0.10738255033557043,0.11038961038961037,0.07874015748031493,0.08571428571428574,0.08695652173913049,0.11184210526315785
,0.11180124223602483,0.12101910828025475,0.08955223880597019,0.10135135135135132,0.08965517241379306,0.1216216216216216
,0.11875000000000002,0.15337423312883436,0.10569105691056913,0.10273972602739723,0.1015625,0.12318840579710144
,0.12345679012345678,0.15384615384615385,0.1127819548872181,0.10596026490066224,0.11347517730496459,0.12578616352201255
,0.130718954248366,0.16959064327485385,0.12408759124087587,0.11029411764705888,0.11678832116788318,0.1273885350318471
,0.13422818791946312,0.16981132075471694,0.13076923076923075,0.11267605633802813,0.11842105263157898,0.12903225806451613
,0.14102564102564108,0.17123287671232879,0.13868613138686137,0.11764705882352944,0.12857142857142856,0.14970059880239517
,0.1476510067114094,0.17307692307692313,0.1428571428571429,0.14383561643835618,0.15384615384615385,0.1558441558441559
,0.18867924528301883,0.1925465838509317,0.14685314685314688,0.14556962025316456,0.17449664429530198,0.16025641025641024
,0.7309417040358744,0.7366071428571428,0.7069767441860465,0.7239819004524887,0.7089201877934272,0.7288888888888889
,0.7352941176470589,0.755656108597285,0.7142857142857143,0.7242990654205608,0.7111111111111111,0.7336448598130841
,0.7548076923076923,0.7566371681415929,0.719626168224299,0.7251184834123223,0.7247706422018348,0.7477064220183487
,0.7663551401869159,0.7575757575757576,0.7235023041474654,0.7268518518518519,0.7318181818181818,0.751131221719457
,0.7692307692307692,0.7681818181818182,0.7255813953488373,0.7339449541284404,0.7361111111111112,0.7543859649122807
,0.771689497716895,0.7713004484304933,0.7298578199052133,0.7422222222222222,0.7431192660550459,0.7545454545454545
,0.782608695652174,0.7733333333333333,0.7391304347826086,0.7440758293838863,0.7488372093023256,0.7603686635944701
,0.7882882882882882,0.7782805429864253,0.7546296296296297,0.7441860465116279,0.7544642857142857,0.7685185185185185
,0.794392523364486,0.7808219178082192,0.7857142857142857,0.7727272727272727,0.7733333333333333,0.7853881278538812
,0.8,0.8154506437768241,0.7909090909090909,0.7973568281938326,0.8114035087719298,0.8051948051948052
